"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",1.8,2647.2,200.2,3391,3391,0,1443.6,1985,4521.4,3609.6,3083,460.8,300.5,19514.2,12.5,60,1563.8,180,0,66.7,0,0
"2",3.5,2767.4,350.8,0,3391,0,1604.3,1904.8,0,3308.6,2331,581.2,125,18651.6,25,33.3,822,100,2712.8,25,0,0
"3",5.3,2526.6,250.3,2712.8,5425.6,0,1152.8,1503.8,3391,3529.4,2030.3,526,120,17749.2,0,25,1122.4,137.5,0,40,0,0
"4",7.1,2581.8,200,0,8138.4,0,1428.3,1904.8,0,3068,2180.5,475.8,150,18611.6,0,33.3,1343.2,75,3391,50,0,0
"5",8.8,2667,200,2712.8,5425.6,0,1553.8,1744.2,2712.8,3569.4,2130.8,425.5,66.7,18932.4,0,40,1122.8,75,0,100,0,0
"6",10.6,2386.4,33.3,3391,2712.8,0,1478.8,2386.2,2712.8,3328.8,2431.3,450.5,125,18551.6,12.5,40,1343.2,150,3391,0,0,0
"7",12.4,2466.4,180,0,5425.6,0,1929.8,1944.8,3391,3469,2757.3,576.3,100,17829.6,0,125,922,260,0,0,0,0
"8",14.1,2546.6,150.3,0,8138.4,0,761.8,2205.8,5425.6,2586.8,2581.8,701.5,100,18591.6,12.5,125.3,1042.4,162.5,3391,75,0,0
"9",15.9,2566.8,180.4,0,6782,0,1102.5,2225.8,3391,2867.6,2306,551,140,20857.8,12.5,20,1283,230,0,150,0,0
"10",17.7,3033.3,200.3,3391,5425.6,0,1378.3,1664.2,6782,3228.6,2255.8,601.3,200.2,18390.8,50,50,1503.6,130,0,33.3,0,0
"11",19.4,2907.8,200,0,6782,0,1052.5,2285.8,4521.4,2646.8,2180.5,551,100,18391,0,75,1423.6,120,2712.8,33.3,0,0
"12",21.2,2446.4,220.2,6782,5425.6,2712.8,1503.8,1924.8,57077.6,3308.8,2857.5,450.8,50,17508.6,12.5,25,1122.8,75,3391,20,0,0
